## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
schweppes55,Schweppes Water (250 Ltr),Drinks,,http://127.0.0.1:5500/images/55.png,160,http://127.0.0.1:5500/schweppeswater.html,921,16,,,,,,,,,,,
redbull56,Red Bull Energy Drink (250 ML),Drinks,,http://127.0.0.1:5500/images/56.png,38,http://127.0.0.1:5500/redbullenergydrink.html,243,11.4,,,,,,,,,,,
frpeppersal64,Pepper Salami (250 Gm),Frozen,,http://127.0.0.1:5500/images/64.png,32,http://127.0.0.1:5500/peppersalami.html,659,16,,,,,,,,,,,
frgreenpees65,Sumeru Green Pees (500 Gm),Frozen,,http://127.0.0.1:5500/images/65.png,59.9,http://127.0.0.1:5500/sumerugreenpees.html,912,17.97,,,,,,,,,,,
frtikkach66,Tikka Chicken (300 Gm),Frozen,,http://127.0.0.1:5500/images/66.png,22,http://127.0.0.1:5500/tikkachicken.html,565,6.6,,,,,,,,,,,
frmixedveg67,Mixed Vegetables (500 Gm),Frozen,,http://127.0.0.1:5500/images/67.png,189.9,http://127.0.0.1:5500/mixedvegetables.html,242,56.97,,,,,,,,,,,
frmangopulp68,Mango Pulp (800 Gm),Frozen,,http://127.0.0.1:5500/images/68.png,37,http://127.0.0.1:5500/mangopulp.html,344,3.7,,,,,,,,,,,
frkesarmango69,Kesar Mango Pulp (800 Gm),Frozen,,http://127.0.0.1:5500/images/69.png,190,http://127.0.0.1:5500/kesarmangopulp.html,331,19,,,,,,,,,,,
dgel17,"Dishwash Gel, Lemon (1.5 Ltr)",Households,,http://127.0.0.1:5500/images/17.png,82,http://127.0.0.1:5500/DGel.html,65,8.2,,,,,,,,,,,
Dwashbar18,Dishwash Bar (500 Gm),Households,,http://127.0.0.1:5500/images/18.png,38,http://127.0.0.1:5500/Dwashbar.html,383,3.8,,,,,,,,,,,
airfresh19,Air Freshener (50 Gm),Households,,http://127.0.0.1:5500/images/19.png,319.9,http://127.0.0.1:5500/airfreshner.html,702,95.97,,,,,,,,,,,
tcleaner20,Toilet Cleaner Expert (1 Ltr),Households,,http://127.0.0.1:5500/images/20.png,89,http://127.0.0.1:5500/toiletcleaner.html,474,17.8,,,,,,,,,,,
prince21,Princeware Packaging Container Pack (6 No's),Households,,http://127.0.0.1:5500/images/21.png,45,http://127.0.0.1:5500/princeware.html,625,13.5,,,,,,,,,,,
signo_contain22,Signoraware Container Center Press (900 ML),Households,,http://127.0.0.1:5500/images/22.png,120,http://127.0.0.1:5500/signocontain.html,404,24,,,,,,,,,,,
stainsauce_23,Ship Stainless Steel Sauce Pan Single (1 Pc),Households,,http://127.0.0.1:5500/images/23.png,67,http://127.0.0.1:5500/stainless.html,744,6.7,,,,,,,,,,,
omega24,Omega Stainless Steel Puri Dabba (1 Pc),Households,,http://127.0.0.1:5500/images/24.png,29.9,http://127.0.0.1:5500/omegadabba.html,752,2.99,,,,,,,,,,,
cancats57,Can - Tuna For Cats (400 Gm),Pet Food,,http://127.0.0.1:5500/images/57.png,75,http://127.0.0.1:5500/cantunacats.html,715,22.5,,,,,,,,,,,
jrpet58,Junior Pet Food (90 Gm),Pet Food,,http://127.0.0.1:5500/images/58.png,150,http://127.0.0.1:5500/jrpetfood.html,477,30,,,,,,,,,,,
dogjr4,Dogs Food - Junior (4 Kg),Pet Food,,http://127.0.0.1:5500/images/4.png,36,http://127.0.0.1:5500/dogjr.html,436,14.4,,,,,,,,,,,
gravydog59,Gravy Food For Dogs (20 Kg),Pet Food,,http://127.0.0.1:5500/images/59.png,299,http://127.0.0.1:5500/gravydog.html,188,119.6,,,,,,,,,,,
meatdog60,Meat For Dogs (100 Gm),Pet Food,,http://127.0.0.1:5500/images/60.png,1250,http://127.0.0.1:5500/mdog.html,672,250,,,,,,,,,,,
weekdog61,Weekly Pack (200 Gm),Pet Food,,http://127.0.0.1:5500/images/61.png,39.99,http://127.0.0.1:5500/weekly.html,56,8,,,,,,,,,,,
dogmuch62,Dog Munchies (500 Gm),Pet Food,,http://127.0.0.1:5500/images/62.png,62,http://127.0.0.1:5500/dogmuchhie.html,23,12.4,,,,,,,,,,,
nutri63,Nutrition For Cats (90 Gm),Pet Food,,http://127.0.0.1:5500/images/63.png,24,http://127.0.0.1:5500/nutritioncat.html,462,2.4,,,,,,,,,,,
foodadult25,Food For Adult Dogs (80 Gms),Pet Food,,http://127.0.0.1:5500/images/25.png,248,http://127.0.0.1:5500/foodadult.html,134,74.4,,,,,,,,,,,
yaddogs26,Young Adult Dogs (1.2 Kg),Pet Food,,http://127.0.0.1:5500/images/26.png,39.9,http://127.0.0.1:5500/youngdogs.html,975,15.96,,,,,,,,,,,
catfish27,Cat Food Ocean Fish (1.4 Kg),Pet Food,,http://127.0.0.1:5500/images/27.png,340,http://127.0.0.1:5500/catoceanfish.html,539,68,,,,,,,,,,,
chicken28,Chicken In Jelly Can (400 Gm),Pet Food,,http://127.0.0.1:5500/images/28.png,45,http://127.0.0.1:5500/chickcan.html,630,11.4,,,,,,,,,,,
raisinrolls37,Raisin Rolls (2 In 1 Pack),Bread and Bakery,,http://127.0.0.1:5500/images/37.png,120,http://127.0.0.1:5500/raisinroll.html,685.5,16,,,,,,,,,,,
buttercroissants38,Butter Croissants (50 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/38.png,67,http://127.0.0.1:5500/buttercroissants.html,740,17.97,,,,,,,,,,,
breadwheatpita39,Bread Wheat Pita (250 Gm) ,Bread and Bakery,,http://127.0.0.1:5500/images/39.png,29.9,http://127.0.0.1:5500/breadwheatpita.html,796,6.6,,,,,,,,,,,
hotdogroll40,Hot Dog Roll (150 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/40.png,75,http://127.0.0.1:5500/hotdogroll.html,851,56.97,,,,,,,,,,,
masalabread41,Masala Bread (500 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/41.png,150,http://127.0.0.1:5500/masalabread.html,906,3.7,,,,,,,,,,,
rollschocolate42,Rolls Chocolate (3 Pcs),Bread and Bakery,,http://127.0.0.1:5500/images/42.png,36,http://127.0.0.1:5500/rollschocolate.html,962,19,,,,,,,,,,,
wheatmasalapav43,Wheat Masala Pav (500 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/43.png,299,http://127.0.0.1:5500/wheatmasalapav.html,117,8.2,,,,,,,,,,,
bakedgarlicbread44,Baked - Garlic Bread (200 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/44.png,1250,http://127.0.0.1:5500/baked-garlicbread.html,373,3.8,,,,,,,,,,,
egglesswalnut45,Eggless Walnut (250 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/45.png,39.99,http://127.0.0.1:5500/egglesswalnut.html,1128,95,,,,,,,,,,,
assortedmuffins46,Assorted Muffins (200 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/46.png,69.99,http://127.0.0.1:5500/assortedmuffins.html,183,17.8,,,,,,,,,,,
bagels-sesame47,Bagels - Sesame (200 Gm) ,Bread and Bakery,,http://127.0.0.1:5500/images/47.png,96,http://127.0.0.1:5500/bagels-sesame.html,123,13.5,,,,,,,,,,,
flaxwalnutloaf48,Flax & Walnut Loaf (400 Gm),Bread and Bakery,,http://127.0.0.1:5500/images/48.png,83,http://127.0.0.1:5500/flax&walnut.html,294,57,,,,,,,,,,,
